date,open,high,low,close,adj _close,volume
1/2/2019,82.379997,86.199997,82.239998,85.75,85.75,10146200
1/3/2019,84.360001,84.75,81.910004,82.089996,82.089996,9650700
1/4/2019,83.709999,86.910004,83.370003,86.269997,86.269997,9234800
1/7/2019,86.419998,87.550003,86.019997,86.93,86.93,11094100
1/8/2019,88.110001,88.894997,87.690002,88.699997,88.699997,8307600
1/9/2019,88.809998,90.315002,88.5,89.550003,89.550003,9578300
1/10/2019,89.099998,90.790001,87.917999,90.699997,90.699997,7478100
1/11/2019,90.110001,91.143997,90.099998,90.650002,90.650002,7398200
1/14/2019,89.959999,90.809998,89.550003,90.43,90.43,6084700
1/15/2019,90.639999,91.910004,90.190002,91.599998,91.599998,10377900
1/16/2019,91.720001,92.349998,90.209999,90.550003,90.550003,8475000
1/17/2019,90.25,90.870003,89.809998,90.400002,90.400002,10254500
1/18/2019,91.349998,91.440002,89.779999,91.120003,91.120003,11958400
1/22/2019,90.330002,90.970001,89.089996,89.940002,89.940002,7890300
1/23/2019,90.739998,91.169998,89.57,90.5,90.5,5595700
1/24/2019,90.669998,92.989998,90.550003,92.199997,92.199997,9749100
1/25/2019,93.050003,94.580002,92.690002,94.279999,94.279999,11664300
1/28/2019,93.300003,93.419998,90.690002,92.300003,92.300003,7361100
1/29/2019,92.330002,92.849998,90.57,91.120003,91.120003,6399900
1/30/2019,92.019997,93.339996,90.900002,92.419998,92.419998,11622800
1/31/2019,89.019997,90.089996,86.620003,88.760002,88.760002,23729900
2/1/2019,88.360001,90.5,88.25,90.010002,90.010002,10514600
2/4/2019,89.879997,92.120003,89.709999,91.660004,91.660004,7084500
2/5/2019,91.910004,92.349998,91.360001,92.269997,92.269997,5591300
2/6/2019,90.800003,92.290001,90.190002,92.25,92.25,5939400
2/7/2019,91.110001,91.709999,90.010002,90.849998,90.849998,7283800
2/8/2019,90.019997,91.910004,90,91.870003,91.870003,7642100
2/11/2019,92.25,93.75,92.150002,92.690002,92.690002,6455900
2/12/2019,93.440002,94.510002,93.199997,94.379997,94.379997,7497000
2/13/2019,94.589996,96.040001,93.844002,94.010002,94.010002,8577900
2/14/2019,93.650002,94.989998,93.099998,94.419998,94.419998,6579200
2/15/2019,95,95.43,94.449997,94.910004,94.910004,6080200
2/19/2019,94.449997,95.300003,94.059998,95.019997,95.019997,8092400
2/20/2019,95,95.720001,93.980003,94.730003,94.730003,8154100
2/21/2019,94.720001,95.510002,94.330002,94.959999,94.959999,6410000
2/22/2019,95.239998,96,95.07,95.980003,95.980003,4898000
2/25/2019,96.07,97.304001,96,96.699997,96.699997,7470700
2/26/2019,96.339996,96.82,95.529999,96.589996,96.589996,5906400
2/27/2019,96.110001,98.040001,95.93,97.860001,97.860001,5565400
2/28/2019,97.660004,98.525002,97.080002,98.07,98.07,6151800
3/1/2019,98.919998,99.449997,98.339996,98.800003,98.800003,5434000
3/4/2019,98.029999,98.5,95.339996,96.57,96.57,7855800
3/5/2019,96.650002,97.139999,96.150002,96.529999,96.529999,6321900
3/6/2019,96.519997,97.279999,95.910004,96.459999,96.459999,3226500
3/7/2019,96.169998,96.75,95.300003,96.209999,96.209999,6170100
3/8/2019,95.040001,95.769997,94.510002,95.690002,95.690002,4577700
3/11/2019,96.010002,97.57,95.954002,97.449997,97.449997,5387500
3/12/2019,98,98.080002,96.900002,97.5,97.5,5624500
3/13/2019,98.199997,100.589996,98.139999,99.309998,99.309998,9356600
3/14/2019,99.459999,99.669998,98.93,99.029999,99.029999,5414700
3/15/2019,99.400002,101.260002,99.330002,100.730003,100.730003,10960900
3/18/2019,101.209999,101.830002,99.370003,100.269997,100.269997,6454000
