date,open,high,low,close,adj_close,volume
1/2/2019,54.139999,54.139999,54.139999,54.139999,54.113052,0
1/3/2019,52.290001,52.290001,52.290001,52.290001,52.263969,0
1/4/2019,54.560001,54.560001,54.560001,54.560001,54.532845,0
1/7/2019,55.849998,55.849998,55.849998,55.849998,55.822197,0
1/8/2019,56.5,56.5,56.5,56.5,56.471878,0
1/9/2019,57.150002,57.150002,57.150002,57.150002,57.121555,0
1/10/2019,57.470001,57.470001,57.470001,57.470001,57.441395,0
1/11/2019,57.389999,57.389999,57.389999,57.389999,57.361435,0
1/14/2019,57.009998,57.009998,57.009998,57.009998,56.981621,0
1/15/2019,57.639999,57.639999,57.639999,57.639999,57.611309,0
1/16/2019,58.040001,58.040001,58.040001,58.040001,58.011112,0
1/17/2019,58.450001,58.450001,58.450001,58.450001,58.420906,0
1/18/2019,59.23,59.23,59.23,59.23,59.20052,0
1/22/2019,58.689999,58.689999,58.689999,58.689999,58.660786,0
1/23/2019,58.810001,58.810001,58.810001,58.810001,58.780727,0
1/24/2019,59.279999,59.279999,59.279999,59.279999,59.250492,0
1/25/2019,60.240002,60.240002,60.240002,60.240002,60.210018,0
1/28/2019,59.599998,59.599998,59.599998,59.599998,59.570332,0
1/29/2019,59.16,59.16,59.16,59.16,59.130554,0
1/30/2019,60.27,60.27,60.27,60.27,60.240002,0
1/31/2019,60.18,60.18,60.18,60.18,60.150047,0
2/1/2019,61.049999,61.049999,61.049999,61.049999,61.019611,0
2/4/2019,61.75,61.75,61.75,61.75,61.719269,0
2/5/2019,62.099998,62.099998,62.099998,62.099998,62.069088,0
2/6/2019,62.150002,62.150002,62.150002,62.150002,62.119064,0
2/7/2019,61.619999,61.619999,61.619999,61.619999,61.589329,0
2/8/2019,62.220001,62.220001,62.220001,62.220001,62.18903,0
2/11/2019,62.349998,62.349998,62.349998,62.349998,62.318962,0
2/12/2019,62.959999,62.959999,62.959999,62.959999,62.928661,0
2/13/2019,63.330002,63.330002,63.330002,63.330002,63.298477,0
2/14/2019,63.330002,63.330002,63.330002,63.330002,63.298477,0
2/15/2019,64.029999,64.029999,64.029999,64.029999,63.998131,0
2/19/2019,64.029999,64.029999,64.029999,64.029999,63.998131,0
2/20/2019,63.880001,63.880001,63.880001,63.880001,63.848209,0
2/21/2019,63.700001,63.700001,63.700001,63.700001,63.668293,0
2/22/2019,64.5,64.5,64.5,64.5,64.467896,0
2/25/2019,64.57,64.57,64.57,64.57,64.537857,0
2/26/2019,64.860001,64.860001,64.860001,64.860001,64.827713,0
2/27/2019,64.989998,64.989998,64.989998,64.989998,64.957642,0
2/28/2019,64.959999,64.959999,64.959999,64.959999,64.927673,0
3/1/2019,65.599998,65.599998,65.599998,65.599998,65.567345,0
3/4/2019,64.970001,64.970001,64.970001,64.970001,64.93766,0
3/5/2019,64.860001,64.860001,64.860001,64.860001,64.827713,0
3/6/2019,64.529999,64.529999,64.529999,64.529999,64.497879,0
3/7/2019,64.230003,64.230003,64.230003,64.230003,64.198036,0
3/8/2019,64.199997,64.199997,64.199997,64.199997,64.168037,0
3/11/2019,65.32,65.32,65.32,65.32,65.287483,0
3/12/2019,65.550003,65.550003,65.550003,65.550003,65.517372,0
3/13/2019,65.910004,65.910004,65.910004,65.910004,65.877197,0
3/14/2019,66.18,66.18,66.18,66.18,66.147057,0
3/15/2019,66.620003,66.620003,66.620003,66.620003,66.586845,0
3/18/2019,66.690002,66.690002,66.690002,66.690002,66.656807,0
3/19/2019,66.730003,66.730003,66.730003,66.730003,66.696793,0
3/20/2019,66.540001,66.540001,66.540001,66.540001,66.506882,0
3/21/2019,67.709999,67.709999,67.709999,67.709999,67.6763,0
3/22/2019,66.290001,66.290001,66.290001,66.290001,66.257004,0
