date,open,high,low,close,adj_close,volume
1/2/2019,130,133.740005,129.600006,132.919998,130.870972,8788000
1/3/2019,131.210007,131.279999,127.879997,128.130005,126.154846,9428300
1/4/2019,130.440002,134.589996,130.130005,133.649994,131.589752,11065800
1/7/2019,134.449997,137.169998,134.039993,136.059998,133.962585,12928000
1/8/2019,137.970001,138.190002,135.960007,136.800003,134.691193,9243000
1/9/2019,138.300003,139.479996,137.619995,138.410004,136.276337,9987600
1/10/2019,136.809998,138.820007,136.360001,138.669998,136.532349,12514900
1/11/2019,137.75,138.600006,137.410004,138.059998,135.931763,5860100
1/14/2019,136.990005,138.130005,136.649994,137.100006,134.986572,8666700
1/15/2019,136.960007,137.720001,135.25,137.339996,135.222839,7594900
1/16/2019,138.399994,138.869995,137.070007,137.339996,135.222839,7258000
1/17/2019,136.970001,137.910004,136.589996,137.279999,135.163788,5864900
1/18/2019,138.309998,138.600006,136.639999,138.5,136.36499,10263500
1/22/2019,137.899994,139.520004,136.979996,138.050003,135.921921,8102300
1/23/2019,138.770004,138.979996,136.149994,137.009995,134.897964,5465800
1/24/2019,137.110001,138.320007,136.520004,137.699997,135.577301,4924800
1/25/2019,139,139.899994,137.699997,138.669998,136.532349,9756300
1/28/2019,137.509995,137.509995,134.809998,135.990005,133.893677,9857200
1/29/2019,136.589996,136.690002,134.110001,135,132.918915,7457700
1/30/2019,136.100006,137.899994,135.509995,137.600006,135.478851,8078100
1/31/2019,134.389999,135.729996,133.300003,135.009995,132.928757,20095700
2/1/2019,135.389999,140.350006,135.259995,140.149994,137.989548,13248300
2/4/2019,139.789993,141.520004,139.179993,141.5,139.318756,11882700
2/5/2019,142,142.949997,141.830002,142.529999,140.33284,8455700
2/6/2019,141.960007,142.419998,141.050003,141.490005,139.308899,6146900
2/7/2019,139.919998,141.059998,139.210007,140.169998,138.009262,10675300
2/8/2019,138.690002,140.399994,138.520004,140.380005,138.216019,5950700
2/11/2019,141.259995,142.289993,140.449997,140.800003,138.629517,7600100
2/12/2019,141.789993,142.800003,141.25,141.990005,139.801178,6090000
2/13/2019,142.889999,144.699997,142.869995,143.490005,141.278061,6885600
2/14/2019,142.979996,143.479996,142.399994,143.160004,141.199173,6314000
2/15/2019,144.550003,144.910004,143.820007,144.910004,142.925217,6536000
2/19/2019,144.419998,144.880005,144.020004,144.440002,142.461624,8406700
2/20/2019,144.350006,144.839996,143.520004,144.729996,142.74765,5283100
2/21/2019,144.350006,145.029999,143.179993,144,142.027634,8573400
2/22/2019,144.419998,146.279999,144.419998,145.869995,143.871994,9680800
2/25/2019,146.910004,147.199997,145.809998,146.059998,144.059464,9731200
2/26/2019,145.199997,147.399994,145.020004,147.039993,145.025986,7332500
2/27/2019,146.5,147.490005,145.919998,147.220001,145.203552,9731200
2/28/2019,147.259995,148.820007,147.229996,148.119995,146.091217,6250200
3/1/2019,149.460007,149.929993,148.380005,149.470001,147.422729,7016800
3/4/2019,150.070007,150.190002,146.949997,147.960007,145.933426,6979700
3/5/2019,148,149.289993,147.830002,147.949997,145.923553,9678600
3/6/2019,148,148.520004,147.419998,147.809998,145.785477,8186400
3/7/2019,147.259995,147.809998,146.039993,146.830002,144.818878,8761700
3/8/2019,145.440002,147.479996,144.5,147.350006,145.331772,5168100
3/11/2019,148.110001,150.970001,148.020004,150.669998,148.606293,9361500
3/12/2019,151,153.139999,150.869995,151.729996,149.651749,9465100
3/13/2019,152.300003,154.039993,152.039993,152.470001,150.381668,8308900
3/14/2019,152.559998,154.690002,152.300003,154.199997,152.087936,9364900
3/15/2019,153.720001,156.820007,153.360001,155.460007,153.330688,20162000
3/18/2019,155.919998,156.410004,154.419998,154.960007,152.83754,9689400
3/19/2019,155.949997,155.949997,154.139999,154.589996,152.47258,9236100
3/20/2019,154.339996,154.869995,152.710007,153.75,151.644119,6391400
3/21/2019,153.320007,156.679993,153.309998,155.800003,153.666031,7027100
3/22/2019,154.990005,155.679993,152.850006,153.070007,150.973404,8119800
3/25/2019,152.360001,154.059998,151.539993,153.029999,150.933929,7568000
3/26/2019,153.770004,155.600006,153.770004,155.300003,153.172882,15594400
3/27/2019,155.470001,155.860001,153.360001,154.220001,152.107666,12253800
3/28/2019,154.929993,155.080002,153.610001,154.669998,152.551498,16902200
3/29/2019,155.729996,156.289993,154.929993,156.190002,154.050674,12164400
4/1/2019,157.529999,157.729996,156.550003,157.259995,155.106018,6420100
4/2/2019,157.660004,158.149994,156.75,157.779999,155.618881,6215100
4/3/2019,158.550003,159.110001,157.850006,158.460007,156.289581,8209300
4/4/2019,158.529999,158.690002,156.529999,157.639999,155.480804,5100200
4/5/2019,158,158.630005,157.229996,157.649994,155.490662,4178300
4/8/2019,157.550003,157.850006,156.320007,157.75,155.589294,5604700
